899.0000	49.9088
898.0000	49.1128
897.0000	48.6614
896.0000	48.6323
895.0000	48.2883
894.0000	48.2976
893.0000	48.5745
892.0000	49.0567
891.0000	49.3364
890.0000	49.8958
889.0000	50.5474
888.0000	51.4348
887.0000	52.2334
886.0000	52.9793
885.0000	53.7619
884.0000	54.3541
883.0000	54.9243
882.0000	55.2933
881.0000	55.3948
880.0000	55.4327
879.0000	55.0698
878.0000	54.6625
877.0000	54.1669
876.0000	53.3193
875.0000	52.391
874.0000	51.4057
873.0000	50.4583
872.0000	49.5498
871.0000	48.7427
870.0000	48.1031
869.0000	47.5207
868.0000	47.1108
867.0000	46.9228
866.0000	46.9041
865.0000	47.0961
864.0000	47.4562
863.0000	47.9848
862.0000	48.6325
861.0000	49.4805
860.0000	50.3738
859.0000	51.3075
858.0000	52.2379
857.0000	53.1899
856.0000	53.9791
855.0000	54.5703
854.0000	55.0186
853.0000	55.1439
852.0000	55.0308
851.0000	54.7156
850.0000	54.1406
849.0000	53.3825
848.0000	52.4758
847.0000	51.4846
846.0000	50.5025
845.0000	49.5187
844.0000	48.6541
843.0000	47.8931
842.0000	47.3404
841.0000	46.9741
840.0000	46.8502
839.0000	46.9069
838.0000	47.224
837.0000	47.7251
836.0000	48.4141
835.0000	49.2706
834.0000	50.2519
833.0000	51.2968
832.0000	52.347
831.0000	53.3485
830.0000	54.2385
829.0000	54.8903
828.0000	55.3169
827.0000	55.457
826.0000	55.2956
825.0000	54.8336
824.0000	54.1171
823.0000	53.1907
822.0000	52.1721
821.0000	51.0613
820.0000	49.94
819.0000	48.904
818.0000	47.9823
817.0000	47.2876
816.0000	46.8245
815.0000	46.5858
814.0000	46.6171
813.0000	46.9167
812.0000	47.4375
811.0000	48.1828
810.0000	49.1451
809.0000	50.2349
808.0000	51.3785
807.0000	52.5055
806.0000	53.5318
805.0000	54.3302
804.0000	54.919
803.0000	55.181
802.0000	55.1066
801.0000	54.7114
800.0000	53.9927
799.0000	53.0083
798.0000	51.8809
797.0000	50.6865
796.0000	49.5216
795.0000	48.4691
794.0000	47.5914
793.0000	46.9573
792.0000	46.6045
791.0000	46.5144
790.0000	46.7198
789.0000	47.2441
788.0000	48.016
787.0000	49.0057
786.0000	50.11
785.0000	51.2998
784.0000	52.4825
783.0000	53.5561
782.0000	54.4364
781.0000	54.9786
780.0000	55.1517
779.0000	54.9667
778.0000	54.4243
777.0000	53.5613
776.0000	52.4651
775.0000	51.2708
774.0000	50.08
773.0000	48.9484
772.0000	47.9834
771.0000	47.2897
770.0000	46.8469
769.0000	46.7214
768.0000	46.95
767.0000	47.4726
766.0000	48.2749
765.0000	49.3021
764.0000	50.5024
763.0000	51.7881
762.0000	53.0247
761.0000	54.1055
760.0000	54.8666
759.0000	55.2948
758.0000	55.3108
757.0000	54.9039
756.0000	54.1562
755.0000	53.1138
754.0000	51.9052
753.0000	50.6501
752.0000	49.4665
751.0000	48.4685
750.0000	47.7616
749.0000	47.35
748.0000	47.2777
747.0000	47.5924
746.0000	48.2543
745.0000	49.2166
744.0000	50.3898
743.0000	51.7071
742.0000	53.0176
741.0000	54.2062
740.0000	55.0484
739.0000	55.5609
738.0000	55.6212
737.0000	55.2491
736.0000	54.4902
735.0000	53.4543
734.0000	52.2625
733.0000	51.0124
732.0000	49.8804
731.0000	48.9707
730.0000	48.3569
729.0000	48.0969
728.0000	48.2245
727.0000	48.6979
726.0000	49.532
725.0000	50.6467
724.0000	51.9569
723.0000	53.2931
722.0000	54.513
721.0000	55.4762
720.0000	56.0535
719.0000	56.1713
718.0000	55.8547
717.0000	55.1355
716.0000	54.0932
715.0000	52.8785
